"","Reporting.country","Counterparty.country","X2018.Q2"
"1","Australia","Afghanistan",1.094
"2","Austria","Afghanistan",0.026
"3","Canada","Afghanistan",0.027
"4","Ireland","Afghanistan",0.006
"5","Italy","Afghanistan",4.092
"6","Spain","Afghanistan",0.73
"7","Sweden","Afghanistan",0.122
"8","Switzerland","Afghanistan",0.416
"9","Australia","Albania",1.027
"10","Austria","Albania",886.911
"11","France","Albania",385
"12","Greece","Albania",606
"13","Ireland","Albania",0.287
"14","Italy","Albania",687.918
"15","Japan","Albania",0.1
"16","Spain","Albania",2.599
"17","Sweden","Albania",0.074
"18","Switzerland","Albania",4.49
"19","Turkey","Albania",241.73
"20","United Kingdom","Albania",6
"21","Austria","Algeria",0.218
"22","Belgium","Algeria",24
"23","Canada","Algeria",0.604
"24","Denmark","Algeria",3
"25","France","Algeria",668
"26","Japan","Algeria",0.6
"27","Spain","Algeria",55.759
"28","Sweden","Algeria",25.586
"29","Switzerland","Algeria",85.683
"30","Turkey","Algeria",0.168
"31","United Kingdom","Algeria",140
"32","Australia","Andorra",0.002
"33","Austria","Andorra",0.752
"34","Belgium","Andorra",4
"35","Chinese Taipei","Andorra",29
"36","Denmark","Andorra",4
"37","France","Andorra",118
"38","Portugal","Andorra",11.143
"39","Spain","Andorra",1568.047
"40","Sweden","Andorra",14.568
"41","Switzerland","Andorra",735.982
"42","United Kingdom","Andorra",127
"43","Australia","Angola",0.946
"44","Austria","Angola",2.328
"45","Chinese Taipei","Angola",22
"46","Denmark","Angola",2
"47","France","Angola",1593
"48","Portugal","Angola",2580.23
"49","Spain","Angola",1663.066
"50","Sweden","Angola",74.536
"51","Switzerland","Angola",147.877
"52","United Kingdom","Angola",367
"53","Australia","Argentina",110.032
"54","Austria","Argentina",37.538
"55","Belgium","Argentina",2
"56","Brazil","Argentina",3404
"57","Chile","Argentina",96.186
"58","Chinese Taipei","Argentina",14
"59","Denmark","Argentina",16
"60","France","Argentina",1515
"61","Ireland","Argentina",0.081
"62","Italy","Argentina",117.498
"63","Japan","Argentina",591.4
"64","Panama","Argentina",1069
"65","Portugal","Argentina",22.982
"66","South Korea","Argentina",141.992
"67","Spain","Argentina",10772.111
"68","Sweden","Argentina",22.671
"69","Switzerland","Argentina",3892.641
"70","Turkey","Argentina",0.001
"71","United Kingdom","Argentina",7196
"72","United States","Argentina",10367
"73","Austria","Armenia",46.076
"74","Belgium","Armenia",39
"75","France","Armenia",157
"76","Greece","Armenia",18
"77","Ireland","Armenia",0.171
"78","Italy","Armenia",42.821
"79","Japan","Armenia",6.7
"80","Spain","Armenia",14.887
"81","Sweden","Armenia",96.152
"82","Switzerland","Armenia",134.33
"83","United Kingdom","Armenia",486
"84","Australia","Aruba",0.466
"85","Austria","Aruba",1.986
"86","Belgium","Aruba",1
"87","Spain","Aruba",0.711
"88","Switzerland","Aruba",312.243
"89","United Kingdom","Aruba",56
"90","Australia","Australia",62082
"91","Austria","Australia",884.605
"92","Belgium","Australia",1486
"93","Brazil","Australia",48
"94","Canada","Australia",18986.369
"95","Chile","Australia",6.65
"96","Chinese Taipei","Australia",14960
"97","Denmark","Australia",203
"98","France","Australia",22112
"99","Greece","Australia",83
"100","India","Australia",790.421
"101","Ireland","Australia",752.32
"102","Italy","Australia",2016.711
"103","Japan","Australia",102792.504
"104","Netherlands","Australia",5427.965
"105","Panama","Australia",41
"106","Portugal","Australia",137.062
"107","South Korea","Australia",6247.806
"108","Spain","Australia",2749.426
"109","Switzerland","Australia",19166.289
"110","Turkey","Australia",8.064
"111","United Kingdom","Australia",35884
"112","United States","Australia",40061
"113","Australia","Austria",597.824
"114","Austria","Austria",27166.043
"115","Belgium","Austria",1237
"116","Brazil","Austria",748
"117","Canada","Austria",2390.223
"118","Chile","Austria",62.602
"119","Chinese Taipei","Austria",557
"120","Denmark","Austria",2042
"121","Finland","Austria",627
"122","France","Austria",15931
"123","Germany","Austria",59429
"124","Greece","Austria",564
"125","Ireland","Austria",195.889
"126","Italy","Austria",16103.063
"127","Japan","Austria",5926.8
"128","Netherlands","Austria",9224.975
"129","Panama","Austria",1
"130","Portugal","Austria",432.833
"131","South Korea","Austria",160.422
"132","Spain","Austria",3386.499
